array1,array2,array3
2.2169435272749017e-16,5.789351233654263e-18,3.470342749329412e-16
2.298468247962181e-16,5.316467798956806e-18,3.428842221204681e-16
2.290896865963696e-16,4.9225868232702716e-18,3.373845931888401e-16
2.0690871639994358e-16,4.573083688764665e-18,3.308539893420909e-16
1.3571596973408226e-16,4.278062438951209e-18,3.2331025071912415e-16
3.24168786936573e-17,3.989935422710124e-18,3.1492550889337137e-16
5.24293952457646e-18,3.491397500655291e-18,3.052017898319077e-16
4.185823289356898e-19,-1.3174784853977846e-18,2.0659479385329078e-16
-8.541952919569976e-22,-3.2574011003665322e-18,-1.9138331032831776e-16
-5.143579588069316e-18,-2.94583585063994e-18,-1.7240280345052048e-16
-3.6818140971261714e-17,-2.73542918431577e-18,-1.440129729088414e-16
-1.5717719882441986e-16,-2.628829343274351e-18,-9.39063255966131e-17
-2.3811890524804233e-16,-2.624370586530446e-18,-3.1911426908806794e-17
-2.6845259511149793e-16,-2.72785694640916e-18,-1.6223382242614143e-17
-2.7669263813982584e-16,-2.9535761263416958e-18,-1.1232154935752909e-17
-2.750611395556209e-16,-3.329054737850254e-18,-8.762315225064884e-18
